lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
36,1,61.75,2,12,4,2,1,0,3,1
102,0,72.25,7,8,3,2,2,0,0,1
19,0,90.0,10,6,3,3,0,0,0,1
34,1,139.5,10,2,4,2,2,0,3,0
55,2,130.05,4,22,4,2,2,0,0,1
30,2,102.0,10,16,4,2,1,0,0,1
31,1,114.3,10,2,4,1,2,3,0,0
20,1,139.0,10,6,4,1,0,0,0,1
192,0,100.0,8,25,3,3,0,0,0,1
1,1,205.0,9,27,4,2,0,0,3,1
3,0,85.0,2,13,3,1,2,0,0,1
116,0,61.0,2,28,4,1,2,0,0,0
280,0,110.0,9,19,3,2,1,0,0,0
53,1,75.6,4,2,4,1,0,3,0,1
101,4,100.2,10,24,4,2,1,0,0,1
182,0,126.9,9,20,4,4,0,0,0,0
36,0,112.0,10,13,3,3,0,1,0,1
50,2,52.0,1,14,3,3,0,0,0,1
5,1,99.0,4,11,3,1,1,3,0,1
103,1,132.3,10,21,4,2,1,0,3,0
11,0,137.67,5,1,4,1,2,0,0,0
80,1,74.8,3,25,3,2,2,0,0,1
159,0,144.0,9,19,3,2,1,0,0,0
190,0,95.0,6,22,3,4,1,0,0,1
5,1,143.5,6,20,4,3,1,0,3,0
15,2,150.0,10,19,4,3,0,0,0,1
80,1,207.9,11,11,4,2,0,1,5,1
160,0,70.67,12,30,3,3,0,0,0,1
148,3,118.8,10,4,4,3,0,0,0,1
15,1,65.6,11,25,4,10,4,0,0,0
28,2,156.0,5,20,4,1,0,0,3,1
18,2,98.6,5,29,4,2,2,0,0,1
185,1,122.4,10,5,4,2,0,0,3,0
114,0,75.0,7,1,4,2,1,0,0,0
124,0,146.7,8,8,4,4,1,0,3,0
147,0,97.75,8,8,4,3,1,3,0,0
24,1,127.97,4,10,4,5,2,0,3,0
111,0,58.0,3,27,3,2,2,0,0,1
39,0,60.0,10,30,3,2,1,0,3,1
103,0,94.5,7,18,3,1,2,1,0,0
33,1,111.42,8,29,4,4,1,0,0,1
153,1,96.9,7,3,3,3,2,0,0,1
37,1,96.3,10,22,4,3,0,0,0,1
25,0,158.0,5,19,4,3,1,0,5,0
285,0,100.0,10,3,3,3,1,0,0,0
119,1,99.3,4,29,4,2,1,0,0,1
8,1,95.0,4,5,4,1,0,0,0,1
18,1,99.75,10,3,4,2,2,3,0,1
34,0,177.33,9,23,3,3,0,1,0,1
37,1,125.1,3,18,4,1,0,1,0,1
60,1,102.68,6,9,3,1,0,0,4,1
2,0,94.99,8,10,4,2,0,3,0,1
129,2,124.2,8,16,4,5,0,0,3,1
62,1,99.45,4,5,4,4,0,0,0,1
82,0,202.5,8,30,4,5,0,0,5,0
0,0,141.0,5,24,4,1,0,0,0,1
68,1,131.4,8,30,4,5,1,0,0,1
246,1,58.36,12,27,4,5,2,0,0,0
224,1,97.96,9,4,4,2,2,0,0,1
11,0,95.0,10,11,2,1,2,0,0,1
38,0,137.52,9,16,4,2,0,0,4,1
13,1,65.0,6,14,2,3,0,0,0,1
160,0,94.5,8,4,4,2,0,3,0,0
304,0,89.0,11,3,3,3,0,0,0,0
31,0,116.55,10,3,4,1,1,3,0,1
29,1,129.73,8,15,4,2,1,3,0,0
69,0,120.0,6,12,3,4,2,0,0,0
79,1,90.95,4,25,3,1,1,0,3,1
48,0,175.0,9,14,3,2,0,0,4,1
10,1,93.0,2,6,4,1,0,0,0,1
31,0,107.1,6,20,4,1,1,0,3,0
54,0,95.36,3,28,4,4,1,0,4,1
4,2,147.33,12,28,4,3,0,0,0,1
49,0,80.75,6,3,3,2,0,0,0,1
36,1,88.4,12,22,4,3,2,0,0,1
22,1,88.17,10,1,4,2,0,0,0,1
41,0,123.5,10,26,4,2,0,0,0,1
250,0,95.0,9,26,4,3,1,0,0,0
0,1,91.0,11,9,4,3,1,0,0,1
14,0,184.0,9,22,4,1,0,0,3,1
39,0,109.0,8,14,3,2,0,1,0,1
63,1,105.3,7,23,4,1,0,0,0,1
11,2,135.0,10,2,4,0,2,3,0,1
151,0,200.0,6,27,3,0,1,0,4,0
17,1,173.67,7,28,4,3,0,0,3,1
7,1,143.0,8,26,4,2,2,0,0,1
10,0,134.0,8,21,4,0,1,0,0,0
7,2,153.5,9,15,4,2,0,3,0,1
31,0,75.0,9,16,3,2,1,0,0,1
79,1,95.2,4,4,4,3,1,0,3,1
0,0,3.0,2,29,1,1,1,0,0,1
29,1,99.49,4,15,4,7,3,0,0,0
33,1,113.0,11,26,4,1,0,0,0,1
0,1,0.0,10,12,1,1,1,0,0,1
1,0,114.0,9,9,4,2,0,0,0,1
265,1,115.0,6,24,3,2,0,1,0,0
211,0,100.0,5,20,4,2,0,0,0,0
62,0,149.4,8,13,4,1,2,0,3,0
303,0,91.8,12,27,4,3,0,0,3,0
40,2,207.9,9,20,4,3,0,0,5,1
85,3,125.1,5,13,4,1,0,3,0,1
5,0,100.0,9,20,2,0,2,0,0,1
164,0,115.0,10,16,4,0,1,0,0,0
1,0,107.0,4,19,3,2,0,0,0,1
317,0,120.0,9,15,3,2,0,0,0,0
1,0,72.67,12,29,4,2,0,3,0,1
61,0,73.0,10,4,3,0,2,0,0,1
1,2,137.0,3,4,4,2,1,0,0,1
6,0,65.0,3,29,2,4,0,0,0,1
69,0,140.4,4,30,4,1,1,0,3,0
87,1,112.01,5,29,4,2,2,0,1,1
32,0,95.0,10,10,2,2,1,0,0,1
69,0,82.0,1,29,3,2,1,0,5,1
46,0,86.4,12,7,4,3,0,0,0,0
0,0,0.0,9,8,1,1,0,0,0,1
110,1,78.1,11,12,4,2,2,3,0,1
76,0,120.0,10,10,3,0,1,0,0,0
56,0,72.25,8,15,3,2,1,0,0,1
205,1,90.95,7,5,4,8,2,0,0,0
59,0,80.75,4,28,3,3,0,0,0,1
150,2,65.83,3,17,4,3,0,0,0,1
197,2,106.2,4,12,4,3,0,0,0,0
159,1,70.0,4,9,3,1,1,0,0,1
180,0,88.77,8,27,4,1,1,0,1,0
0,0,82.0,1,5,4,1,0,0,0,1
48,0,186.52,10,25,3,3,2,1,5,1
141,0,132.0,6,3,3,2,1,0,0,1
61,0,121.5,7,23,4,1,1,0,0,0
82,1,112.96,7,3,4,2,2,0,0,1
50,2,189.9,6,3,4,2,1,0,5,1
218,1,90.95,8,20,4,3,2,0,0,0
12,0,140.0,3,30,4,4,1,0,3,0
188,0,130.0,6,15,3,2,0,0,0,0
53,0,80.75,9,17,3,2,2,0,0,1
128,0,120.0,6,20,4,2,1,0,0,0
12,1,55.0,12,5,3,1,1,0,0,1
278,0,84.15,12,27,3,5,0,0,0,1
35,0,153.3,5,27,4,2,1,0,3,0
44,0,75.0,7,8,2,1,0,0,0,1
57,0,60.0,11,17,3,3,0,0,3,1
82,1,80.0,5,2,3,1,1,0,0,1
122,0,114.3,5,12,4,2,0,0,0,0
7,1,74.8,12,13,4,8,2,3,0,1
74,0,101.5,9,18,3,2,0,1,0,1
64,1,93.6,12,3,4,1,1,0,0,1
17,0,65.0,12,9,2,1,0,0,0,1
196,1,80.75,8,3,4,4,1,3,0,1
257,0,80.0,7,1,3,2,0,1,0,1
2,1,129.0,6,16,4,2,0,3,0,1
93,0,126.9,5,2,4,0,1,0,0,0
90,0,80.75,4,16,4,2,2,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
7,1,156.0,5,4,4,3,0,0,3,1
134,0,90.9,6,30,4,3,0,0,0,0
13,1,129.0,8,23,4,2,0,3,0,0
240,0,140.4,9,30,4,2,0,0,3,0
56,0,88.4,11,14,4,5,1,0,0,0
192,2,107.1,9,5,4,3,1,0,0,0
65,0,136.8,9,7,4,3,0,0,3,0
26,0,76.5,9,17,3,3,1,0,0,1
56,1,207.9,9,8,4,3,0,0,5,1
35,0,85.0,3,14,3,2,1,0,0,1
107,0,81.25,8,17,3,1,0,0,0,1
40,3,177.3,8,14,4,0,2,0,3,1
78,0,105.0,4,26,3,4,0,1,0,1
132,0,106.2,11,1,4,5,0,0,0,0
44,0,98.8,12,2,4,2,0,0,0,0
39,0,65.0,11,27,2,2,2,0,0,1
266,0,73.95,12,26,4,3,1,0,0,0
62,1,76.5,7,2,4,3,2,0,0,0
14,1,88.0,11,23,2,1,0,0,0,1
207,0,98.1,10,4,4,1,0,3,0,0
20,1,88.0,12,8,4,1,0,3,0,1
3,0,67.0,9,19,2,0,1,0,0,1
36,0,168.73,12,28,4,4,0,0,0,1
39,1,138.06,4,24,4,3,2,0,3,0
106,2,117.3,11,21,4,3,1,1,0,0
112,0,58.9,3,21,4,2,1,3,1,1
49,2,115.2,12,5,4,1,2,0,0,1
122,0,94.5,5,17,4,3,0,3,0,1
0,0,110.12,9,20,4,1,0,3,0,1
63,0,125.55,10,20,4,3,0,0,3,0
130,3,71.6,5,1,4,2,2,0,0,1
6,2,161.5,9,8,4,3,1,0,0,1
1,3,106.0,8,20,4,2,0,0,0,1
322,0,52.0,12,9,3,2,0,0,0,1
129,0,137.7,8,25,4,2,0,0,3,1
8,1,65.0,3,30,2,5,2,0,0,1
110,1,105.3,7,25,4,2,1,0,0,1
93,2,117.9,8,12,4,2,1,0,0,0
76,0,116.7,4,28,4,3,0,0,0,0
101,1,77.78,4,14,4,3,1,0,1,1
7,0,159.0,4,9,4,4,2,0,3,0
79,1,151.2,10,16,4,2,2,0,3,1
12,0,0.0,8,17,1,1,0,0,0,1
178,2,122.4,10,6,4,3,0,0,3,0
70,0,94.5,4,23,4,1,1,3,0,0
47,2,98.1,12,4,3,0,2,0,0,1
1,0,79.0,2,13,2,1,0,0,0,1
161,0,126.9,9,15,4,3,1,0,0,0
112,1,76.5,8,7,4,2,2,0,0,0
34,1,107.55,10,15,4,3,1,0,0,1
19,0,99.2,8,31,4,1,0,0,0,0
3,1,107.0,8,11,4,2,0,0,0,1
308,0,52.0,11,25,3,2,0,0,0,0
34,2,125.1,9,11,4,0,2,3,0,1
83,1,92.0,11,3,4,3,1,0,3,1
80,0,85.0,9,4,3,4,2,0,0,1
11,1,111.35,5,29,4,3,2,0,0,1
80,0,89.25,9,3,4,3,0,0,0,1
34,0,85.0,8,21,3,3,2,0,0,1
43,1,81.9,3,14,4,3,1,0,0,1
322,0,80.0,5,19,3,3,1,0,0,0
188,0,168.3,7,7,4,2,0,0,5,0
53,2,77.86,11,29,4,4,0,0,1,1
36,1,126.0,9,1,4,1,0,0,0,0
37,0,69.9,2,22,4,2,1,3,0,0
186,0,125.1,10,2,4,5,2,0,0,0
76,1,207.9,9,4,4,0,2,0,5,0
5,2,159.0,10,27,4,3,1,0,0,1
20,1,96.9,11,15,4,5,1,0,3,1
63,3,72.25,10,27,4,5,0,0,0,1
12,1,177.0,5,7,4,1,0,0,3,1
56,0,185.0,9,25,3,2,2,0,0,1
273,0,109.0,7,17,4,2,0,1,0,0
103,0,151.2,10,9,4,0,1,0,3,0
100,2,137.7,7,18,4,1,1,0,3,1
207,0,80.75,7,28,4,4,2,3,0,0
88,1,132.3,10,20,4,3,0,0,3,1
418,0,107.0,9,26,3,2,1,1,0,0
15,1,130.9,11,8,4,3,0,3,0,1
111,1,221.4,10,6,4,1,0,0,1,0
127,1,94.7,3,19,4,5,2,0,1,0
7,1,106.33,3,10,4,3,0,0,0,1
9,1,86.0,2,10,4,1,0,0,0,1
49,1,135.9,6,4,4,1,1,0,3,1
6,2,95.5,8,30,4,2,2,0,0,1
95,1,85.0,11,18,4,3,2,0,0,1
39,2,130.9,12,8,4,8,2,0,3,1
43,1,119.0,10,25,4,1,0,0,0,1
34,1,131.4,4,2,4,1,1,0,3,1
0,0,140.0,5,18,2,1,0,0,0,1
50,2,86.4,11,18,4,2,1,0,0,1
71,1,137.1,5,13,4,2,2,0,3,1
275,0,62.8,6,4,3,1,1,0,0,0
93,0,115.0,10,15,3,1,2,0,0,0
163,0,100.0,6,5,3,2,2,0,0,0
51,0,69.11,10,12,4,3,1,0,0,1
53,1,88.4,11,13,4,4,2,0,0,1
166,0,137.7,8,4,4,3,0,0,3,0
34,1,129.6,3,15,4,5,0,1,3,1
0,0,83.5,10,25,3,0,2,1,0,1
12,0,65.0,11,25,2,1,0,0,0,1
230,1,137.0,9,6,3,5,0,0,0,0
5,0,84.0,6,14,3,1,0,0,0,1
75,0,135.0,10,20,4,1,0,0,0,0
13,0,96.0,4,26,3,3,0,1,0,1
25,1,93.0,2,11,4,3,0,0,0,1
165,3,104.4,10,28,4,2,2,0,3,1
0,0,90.4,11,1,4,0,1,0,0,1
0,2,85.0,11,14,4,1,0,3,0,1
160,0,71.6,7,25,4,5,3,0,0,0
17,0,81.0,2,25,4,1,0,3,0,1
88,1,102.3,6,26,4,1,2,0,0,1
81,0,131.4,8,5,4,2,0,0,3,0
127,2,132.3,10,12,4,3,0,0,3,0
315,0,52.0,12,2,3,2,0,0,0,1
92,2,119.85,6,10,4,2,2,0,0,1
0,0,95.0,10,5,2,1,0,0,0,1
84,0,90.95,4,14,4,3,2,0,0,1
5,0,90.0,10,19,3,2,1,0,0,1
179,2,108.9,10,1,4,1,2,0,0,0
144,0,92.55,5,25,4,4,1,0,3,0
35,2,199.0,11,7,4,3,1,0,0,1
98,1,95.0,5,3,3,4,0,0,0,1
112,1,101.58,5,4,4,4,0,3,0,1
243,0,95.4,9,9,4,2,1,3,0,0
94,1,81.08,4,15,4,2,1,0,3,1
22,0,65.0,12,18,2,1,0,0,0,1
0,0,123.0,10,11,4,0,2,0,0,1
113,0,85.0,6,30,4,3,1,0,0,0
44,0,60.0,11,8,3,1,2,0,3,1
1,1,124.0,8,2,4,2,0,3,0,1
44,0,103.95,3,17,4,2,0,0,3,1
245,0,80.75,9,28,3,4,0,0,0,1
64,1,111.9,6,27,4,2,1,0,0,1
102,0,109.0,10,16,3,2,0,1,0,1
45,0,168.3,5,12,4,3,2,0,3,1
18,1,89.0,8,30,4,3,2,0,0,0
0,1,110.0,9,28,2,1,0,0,3,1
1,1,109.0,6,26,4,0,1,0,0,1
73,0,85.67,11,24,3,3,0,0,0,1
120,0,79.2,12,4,4,1,2,3,0,0
320,1,115.0,8,18,4,2,0,1,0,0
37,0,71.1,3,11,4,1,0,3,0,1
2,1,92.67,11,20,4,1,2,3,0,1
6,0,89.0,10,3,2,0,1,0,0,1
35,1,118.8,4,24,4,0,2,0,3,1
52,3,99.0,8,28,4,0,1,3,0,1
12,0,130.0,10,20,2,2,0,0,0,1
68,0,76.22,3,29,4,11,4,0,0,0
8,1,108.57,5,10,4,2,0,0,3,0
3,1,79.0,3,17,2,1,0,0,0,1
79,0,96.3,3,21,4,2,1,0,0,0
192,1,117.3,7,25,3,4,1,0,4,0
320,1,115.0,8,18,3,2,0,1,0,0
138,0,94.5,8,22,3,1,2,1,0,0
128,1,151.2,10,11,4,3,0,0,3,0
1,1,0.0,9,1,1,1,0,0,0,1
39,0,150.3,2,21,4,1,2,0,5,0
8,0,129.0,9,11,4,0,1,3,0,1
40,1,118.0,12,31,3,3,0,0,0,1
181,1,103.95,7,30,4,2,2,0,0,0
67,0,117.6,10,19,4,4,0,0,3,0
9,1,113.0,11,2,4,4,2,3,0,1
179,1,81.25,7,19,3,3,0,0,0,1
42,1,80.3,2,21,4,0,1,0,0,1
327,0,88.0,9,9,3,4,2,1,0,1
